file_id,FIA-Edit_SD35|structure_distance,FIA-Edit_SD35|psnr_unedit_part,FIA-Edit_SD35|lpips_unedit_part,FIA-Edit_SD35|mse_unedit_part,FIA-Edit_SD35|ssim_unedit_part,FIA-Edit_SD35|clip_similarity_source_image,FIA-Edit_SD35|clip_similarity_target_image,FIA-Edit_SD35|clip_similarity_target_image_edit_part
000000000069,0.010200355,37.38859176635742,0.00387158477678895,0.00018244860984850675,0.9931303262710571,18.594560623168945,22.26333236694336,24.498701095581055
000000000070,0.0014845713,nan,nan,nan,nan,25.56304359436035,25.39457130432129,25.39457130432129
000000000071,0.00069017994,47.65857696533203,0.0016489329282194376,1.7145182937383652e-05,0.9990320205688477,23.53753662109375,24.359121322631836,29.03988265991211
000000000072,0.0046238904,40.93489074707031,0.015750857070088387,8.063257700996473e-05,0.9915751814842224,22.501049041748047,27.684831619262695,26.98876953125
000000000073,0.0013153862,34.76445388793945,0.01592993550002575,0.0003338523965794593,0.9790589213371277,23.350387573242188,25.225919723510742,24.565399169921875
000000000074,0.0064842976,31.415599822998047,0.024381857365369797,0.0007218383252620697,0.9471642374992371,21.867387771606445,20.671520233154297,24.17745018005371
000000000075,0.014436933,30.950199127197266,0.014055345207452774,0.0008034890634007752,0.9734141826629639,15.023927688598633,21.44795799255371,23.724082946777344
000000000076,0.010602604,25.101207733154297,0.06280090659856796,0.0030894356314092875,0.9089072942733765,22.890329360961914,26.14303207397461,24.319833755493164
000000000077,0.008068588,24.986433029174805,0.06663665175437927,0.003172171302139759,0.8517330884933472,24.721776962280273,32.632606506347656,20.149810791015625
000000000078,0.004244193,33.41582489013672,0.020625131204724312,0.0004554252664092928,0.9309329986572266,20.644277572631836,21.82527732849121,22.078218460083008
000000000079,0.0048167324,nan,nan,nan,nan,25.769582748413086,22.82606315612793,22.82606315612793
000000000080,0.007362683,43.119171142578125,0.004684803541749716,4.876215825788677e-05,0.9948654174804688,29.892169952392578,29.28321075439453,24.704347610473633
000000000081,0.005976518,26.2305850982666,0.08812782913446426,0.0023819971829652786,0.8449174165725708,24.19579315185547,23.29220962524414,17.922592163085938
000000000082,0.011554725,23.394594192504883,0.09605682641267776,0.004576574545353651,0.7956331968307495,27.582317352294922,27.32196807861328,21.33668327331543
000000000083,0.0011133857,30.79006576538086,0.03148062154650688,0.0008336683386005461,0.9791022539138794,33.067161560058594,33.57857894897461,24.963424682617188
000000000084,0.0070296414,30.248584747314453,0.03347952291369438,0.0009443683666177094,0.9604319334030151,31.769105911254883,31.26165199279785,27.495925903320312
000000000085,0.001452144,37.822147369384766,0.009390070103108883,0.00016511441208422184,0.9947409629821777,27.640026092529297,26.12863540649414,25.51610565185547
000000000086,0.0043053143,33.206363677978516,0.02394942380487919,0.00047792898840270936,0.9790026545524597,25.39092254638672,20.600542068481445,21.141725540161133
000000000087,0.007822032,24.12284278869629,0.0632791817188263,0.0038700420409440994,0.9230183362960815,23.36336898803711,29.771644592285156,20.05069351196289
000000000088,0.005801855,21.716670989990234,0.07042285054922104,0.006734923925250769,0.6571124792098999,26.674901962280273,32.636348724365234,18.092208862304688
000000000089,0.0022253755,31.51724624633789,0.032295070588588715,0.0007051400025375187,0.9620107412338257,23.733474731445312,20.818445205688477,22.383420944213867
